x,y,z,c
0.051267,0.69956,1.6356045623173538,1.0
-0.092742,0.68494,1.6124324577824858,1.0
-0.21371,0.69225,1.6902594309643946,1.0
-0.375,0.50219,1.4811514560099104,1.0
-0.51325,0.46564,1.616472283593878,1.0
-0.52477,0.2098,1.3763011752184613,1.0
-0.39804,0.034357,1.1730606167841813,1.0
-0.30588,-0.19225,1.1394237326227188,1.0
0.016705,-0.40424,1.1778479881968411,1.0
0.13191,-0.51389,1.325093708322927,1.0
0.38537,-0.56506,1.5964826099427472,1.0
0.52938,-0.5212,1.7365365210593808,1.0
0.63882,-0.24342,1.5957507079482143,1.0
0.73675,-0.18494,1.7806943385847378,1.0
0.54666,0.48757,1.71011677986249,1.0
0.322,0.5826,1.557538608287739,1.0
0.16647,0.53874,1.3743117337153758,1.0
-0.046659,0.81652,1.952053650852359,1.0
-0.17339,0.69956,1.6810999069395585,1.0
-0.47869,0.63377,1.8791292957488108,1.0
-0.60541,0.59722,2.0610034925564076,1.0
-0.62846,0.33406,1.659569207608261,1.0
-0.59389,0.005117,1.4229490527895132,1.0
-0.42108,-0.27266,1.2861481765493645,1.0
-0.11578,-0.39693,1.186441431541684,1.0
0.20104,-0.60161,1.4953371109539841,1.0
0.46601,-0.53582,1.6557737007689297,1.0
0.67339,-0.53582,2.097103620740778,1.0
-0.13882,0.54605,1.373609016750524,1.0
-0.29435,0.77997,2.003699302677331,1.0
-0.26555,0.96272,2.711078702511968,1.0
-0.16187,0.8019,1.9527634181563018,1.0
-0.17339,0.64839,1.5690552461672604,1.0
-0.28283,0.47295,1.3548280032447122,1.0
-0.36348,0.31213,1.2580247690332014,1.0
-0.30012,0.027047,1.0950538658427424,1.0
-0.23675,-0.21418,1.1072989095072188,1.0
-0.06394,-0.18494,1.0390336798170072,1.0
0.062788,-0.16301,1.0309849351475255,1.0
0.22984,-0.41155,1.2488209024406172,1.0
0.2932,-0.2288,1.1483380004020074,1.0
0.48329,-0.18494,1.3070491350502575,1.0
0.64459,-0.14108,1.5455809119947828,1.0
0.46025,0.012427,1.2361287160704972,1.0
0.6273,0.15863,1.5199368180167407,1.0
0.57546,0.26827,1.496490955464744,1.0
0.72523,0.44371,2.060270154161769,1.0
0.22408,0.52412,1.3839110996840072,1.0
0.44297,0.67032,1.9070381340533125,1.0
0.322,0.69225,1.7912148243864716,1.0
0.13767,0.57529,1.41894212701274,1.0
-0.0063364,0.39985,1.173417196250598,1.0
-0.092742,0.55336,1.369996750807687,1.0
-0.20795,0.35599,1.1852717611526071,1.0
-0.20795,0.17325,1.0760089343452903,1.0
-0.43836,0.21711,1.270354812916096,1.0
-0.21947,-0.016813,1.04964263421278,1.0
-0.13882,-0.27266,1.0981362976128917,1.0
0.18376,0.93348,2.47230928732288,0.0
0.22408,0.77997,1.9320179899204464,0.0
0.29896,0.61915,1.6043582046188065,0.0
0.50634,0.75804,2.29562431041319,0.0
0.61578,0.7288,2.48515355003954,0.0
0.60426,0.59722,2.0581383816666383,0.0
0.76555,0.50219,2.31234369923461,0.0
0.92684,0.3633,2.6939789804482652,0.0
0.82316,0.27558,2.1245005129122987,0.0
0.96141,0.085526,2.5386282720482174,0.0
0.93836,0.012427,2.4125250073760247,0.0
0.86348,-0.082602,2.12213106006624,0.0
0.89804,-0.20687,2.337941960922788,0.0
0.85196,-0.36769,2.3656002085131473,0.0
0.82892,-0.5212,2.6084542549271292,0.0
0.79435,-0.55775,2.5653039868695258,0.0
0.59274,-0.7405,2.4588185186431137,0.0
0.51786,-0.5943,1.8614792541995273,0.0
0.46601,-0.41886,1.4808392971371753,0.0
0.35081,-0.57968,1.5826435130885064,0.0
0.28744,-0.76974,1.96427146568919,0.0
0.085829,-0.75512,1.7817086714360069,0.0
0.14919,-0.57968,1.4308755912999105,0.0
-0.13306,-0.4481,1.2442072418886907,0.0
-0.40956,-0.41155,1.4008970705531514,0.0
-0.39228,-0.25804,1.2466603301773842,0.0
-0.74366,-0.25804,1.8582121897853878,0.0
-0.69758,0.041667,1.6296316297976343,0.0
-0.75518,0.2902,1.9242049556968404,0.0
-0.69758,0.68494,2.600648039675906,0.0
-0.4038,0.70687,1.9400614287925708,0.0
-0.38076,0.91886,2.6893025292837294,0.0
-0.50749,0.90424,2.930567463130271,0.0
-0.54781,0.70687,2.2250090721929925,0.0
0.10311,0.77997,1.8570419512727052,0.0
0.057028,0.91886,2.33393548567647,0.0
-0.10426,0.99196,2.7043316146088423,0.0
-0.081221,1.1089,3.442700046803201,0.0
0.28744,1.087,3.540226660904351,0.0
0.39689,0.82383,2.3076219629168984,0.0
0.63882,0.88962,3.3185061830222087,0.0
0.82316,0.66301,3.0562071255721643,0.0
0.67339,0.64108,2.373670896943502,0.0
1.0709,0.10015,3.1799225224950143,0.0
-0.046659,-0.57968,1.40242932456928,0.0
-0.23675,-0.63816,1.589308074267432,0.0
-0.15035,-0.36769,1.1709332244397457,0.0
-0.49021,-0.3019,1.3929857347811905,0.0
-0.46717,-0.13377,1.266354400562472,0.0
-0.28859,-0.060673,1.0908589364686347,0.0
-0.61118,-0.067982,1.4596001739023656,0.0
-0.66302,-0.21418,1.6249362639047042,0.0
-0.59965,-0.41886,1.7074889177414694,0.0
-0.72638,-0.082602,1.7065111015684042,0.0
-0.83007,0.31213,2.1955692269196745,0.0
-0.72062,0.53874,2.2468606426780267,0.0
-0.59389,0.49488,1.8177719475586918,0.0
-0.48445,0.99927,3.432305989393195,0.0
-0.0063364,0.99927,2.7144264611237134,0.0
0.63265,-0.030612,1.493590745382297,0.0
